question,answer
"What MUST you do to any provided CSS/SCSS code?", "Reformat and refactor it to adhere to the ruleset."
"What MUST the reformatted and refactored code use?", "Nested BEM, CSS variables from `:host` (and overrides in `:host-context`), minimal nesting, minimal/no comments, and descriptive naming."
"How MUST duplication be reduced in the refactored code?", "By introducing CSS variables."
"What advanced features MAY be integrated into the refactored code?", "Advanced pseudo-classes/elements."
"What MUST the generated code pass?", "Lint checks (e.g., stylelint)."
"How SHOULD the final SCSS be tested?", "In multiple theme contexts (e.g., `.DarkMode`, `.HighContrast`)."
"What MUST the produced code be in terms of extensibility?", "Easily extended to new themes or states, consistent with Nested BEM."
"What syntax should be used as the primary method for conditional and iterative rendering in Angular templates (19+)?", "Angular 19+ control flow syntax (`@let`, `@if`, `@for`)."
"What is the main benefit of using the new Angular control flow syntax?", "It's more performant, readable, and Angular-idiomatic than the legacy `*ngIf`, `*ngFor`, and `ng-template` approaches."
"What should you prioritize when generating Angular templates?", "Template readability and conciseness."
"How should you design control flow structures with performance in mind?", "Use `trackBy` in `@for` loops, avoid excessive nested conditions in `@if` blocks, and optimize overall template logic."
"What should you maintain within and around Angular control flow blocks?", "Semantic HTML structure."
"When should you primarily use `@let` blocks?", "To declare local template variables for values used multiple times or to improve readability by assigning descriptive names to expressions."
"How should you use `@let` with the `async` pipe?", "To unwrap and access the resolved value of Observables directly in templates (e.g., `@let dataValue = myObservable | async;`)."
"What kind of variable names should you use with `@let`?", "Clear and descriptive variable names that reflect the data they hold."
"When should you use `@if` blocks?", "For straightforward conditional rendering based on boolean expressions."
"How can you handle mutually exclusive conditional branches and create exhaustive conditional logic?", "Use `@else if` and `@else` blocks within `@if` structures."
"What should you do if an `@if` condition is always true or always false?", "The AI agent should automatically remove the `@if` block and inform the user."
"When should you use `@for` blocks?", "For efficiently rendering lists or collections of data in templates."
"What is essential for performance optimization in `@for` loops, especially with dynamic lists?", "Implementing a `trackBy` function."
"What kind of identifiers should the `trackBy` function use?", "Unique and stable identifiers for each item in the iterated collection."
"How should you handle asynchronous data (Observables) in templates?", "Use the `async` pipe in combination with `@let` to efficiently unwrap and access the resolved value."
"How can you conditionally render template sections based on the state of asynchronous data?", "Combine `@if` with signals that represent the async data loading state (e.g., `isLoadingSignal`, `dataAvailableSignal`)."
"How should you indent Angular control flow blocks and nested HTML elements?", "Consistently, to reflect the logical structure and nesting (e.g., 2 spaces or tabs)."
"When should you use template comments?", "Sparingly, to explain complex or non-obvious control flow logic."
"Where should complex logic, data transformations, or function calls be placed?", "In the component class, services, or computed signals, *not* directly in templates."
"What should Angular templates primarily focus on?", "Data display and structural rendering using control flow directives."
"What should the AI agent verify before finalizing generated Angular templates with control flow?", "Adherence to all control flow rules, including syntax, `@let` usage, `@if` conditions, `@for` with `trackBy`, unnecessary `@if` removal, indentation, comments, and minimal template logic."
"What should be the primary mechanism for managing reactive state in Angular components and services (19+)?", "Signals"
"When should you use Observables?", "Primarily for interoperability with external data streams and when working with existing Observable-based libraries or APIs."
"How should you convert Observables to Signals for template binding?", "Use `toSignal()`."
"How do you define mutable, reactive state using Signals?", "Use `signal()`."
"How do you create derived signals that automatically recalculate based on dependencies?", "Use `computed()`."
"How do you manage reactive side effects, replacing traditional lifecycle hook logic?", "Use `effect()`."
"When should you use `linkedSignal()`?", "Judiciously, for advanced scenarios where you need a direct, two-way binding or dependency relationship between signals."
"How do you define component inputs in a type-safe and signal-based way?", "Use `input()` (e.g., `input.required<Type>()` for required inputs, `input<Type>(defaultValue)` for optional inputs)."
"How do you define component event emitters using Signals?", "Use `output()` (e.g., `const myEvent = output<string>();`)."
"How do you emit events using `output()`?", "Use `.emit(value)` on the `output()` signal."
"How do you bind directly to signals in Angular templates?", "Invoke them as functions (e.g., `{{ mySignal() }}`)."
"When should you use `@let` with computed signals in templates?", "To declare local template variables for computed values used multiple times or to access the value without repeated function calls."
"How can you use `@defer` with signals for deferred loading?", "Combine `@defer` with signal-based conditions (e.g., `@defer (when mySignal()) { ... }`)."
"What must you always use with `@for` loops for efficient iteration, especially with dynamic lists?", "`trackBy` function in conjunction with a unique identifier signal (or stable identifier)."
"What should you NEVER do with Observables in templates?", "Subscribe to them directly using the `async` pipe."
"Where should you use Signals to manage application-wide shared state?", "In Angular Services."
"What kind of names should you use for signals?", "Clear and descriptive names that reflect the state they hold or the derived value they compute."
"How should you organize related signals?", "Group them logically within components and services."
"When should you comment complex signal logic?", "Especially for `computed()` signals with intricate derivation logic and `effect()` blocks with non-obvious side effects."
"What should the AI agent verify before finalizing generated Angular code using Signals?", "Adherence to all Signal rules, including primary usage, Observable conversion, `computed()`, `effect()`, `input()`, `output()`, template binding, `@let`, `@for` with `trackBy`, naming, shared state in services, and performance considerations."
"What should be a primary design constraint in Angular component generation?", "Performance"
"What should be used as the cornerstone for reactive state management for performance?", "Angular Signals"
"What should be used strategically for deferred loading of non-critical UI sections?", "`@defer` blocks"
"What change detection strategy should be the default for all standalone components?", "`ChangeDetectionStrategy.OnPush`"
"What should you avoid calling directly in Angular templates?", "Methods"
"Where should you pre-compute values used in templates?", "In the component class using Signals or computed properties."
"What UI elements should be targeted for `@defer` blocks?", "Non-critical UI elements, components, and content sections (e.g., below-the-fold, less frequently used)."
"What sub-blocks should always be used within `@defer` blocks?", "`@placeholder`, `@loading`, `@error`"
"What is the purpose of `@defer` sub-blocks?", "To provide clear visual feedback to the user during deferred loading."
"How should you choose `@defer` triggers?", "Strategically, based on the nature and usage pattern of the deferred content (e.g., `on viewport`, `on interaction`, `on timer`, `when`, `prefetch on idle`)."
"How can you fine-tune loading indicators and avoid UI flicker with `@defer`?", "Experiment with `minimum` and `after` parameters in `@placeholder` and `@loading` sub-blocks."
"What must all generated Angular components be, and what change detection strategy must they use?", "Standalone components with `ChangeDetectionStrategy.OnPush`."
"How should inputs be treated in components with OnPush?", "As immutable data. Replace input objects/arrays with new references when updating."
"How should you structure an Angular application's component tree for OnPush optimization?", "Decompose UI into smaller, independent components with clearly defined data flow via inputs and outputs."
"What should be used for pre-computation of values displayed or used multiple times in templates?", "`computed()` signals"
"When can Pure Pipes be used judiciously?", "For memoizing complex transformations or formatting of data that are computationally expensive and whose inputs are stable."
"What should you minimize within component lifecycle hooks or `effect()` blocks?", "DOM reads/writes and operations that trigger layout reflows."
"What should Angular templates be focused on?", "Data display, using simple expressions and variable access."
"What should the AI agent do if user prompts would lead to code violating performance rules?", "Generate warnings or refuse to generate the code."
"What should the AI agent do if user prompts request less efficient code?", "Push back and suggest more performant alternatives."
"What should the AI agent warn against regarding code complexity?", "Unnecessary complexity without a clear performance or functional justification."
"What should the AI agent always aim to generate?", "The best possible Angular code based on established performance best practices."
"What should the AI agent verify before finalizing generated Angular code optimized for performance?", "Adherence to all performance rules, including OnPush, Signals, `@defer`, template optimization, and warnings/pushback."
"What is the preferred method for dependency injection in modern Angular (19+)?", "The `inject()` function."
"When should you use constructor injection in modern Angular?", "Only for specific legacy scenarios or when explicitly necessary for framework interoperability (which should be rare)."
"Why is `inject()` preferred over constructor injection?", "It's more concise, type-safe, and reduces boilerplate."
"How do you use `inject()` for dependency injection within a class?", "`private readonly service = inject(MyService);` (or with a generic type parameter for tokens)"
"How do you ensure type safety when using `inject()` with Injection Tokens?", "Use the generic type parameter: `private readonly service = inject<MyService>(MyServiceToken);`"
"Where can you use `inject()` within a component or service class?", "Directly in the class body (outside the constructor)."
"Why is using `inject()` in the class body recommended?", "It's more streamlined and declarative, aligning with modern Angular patterns."
"When should you use dynamic component injection?", "For UI features or components that can be loaded on-demand or conditionally at runtime."
"What function is used to dynamically create component instances?", "`createComponent()`"
"What is `ViewContainerRef` used for in dynamic component injection?", "It provides the insertion point in the DOM for dynamically created components."
"How do you dynamically create and insert a component?", "`createComponent(ComponentClass, { viewContainerRef: ..., injector: ... })`"
"What is the difference between lazy-loading modules and dynamic component injection?", "Lazy-loading modules is for feature-level code splitting (via the Router), while dynamic component injection is for loading individual components on-demand."
"What is the primary method for lazy loading in Angular applications?", "Lazy-loading feature modules via the Angular Router (using `loadChildren`)."
"How do you configure routes for lazy-loading modules?", "Use `loadChildren` in route configurations with `() => import(...)` syntax."
"How do you lazy-load standalone components directly in route configurations?", "Use `loadComponent` in route configurations with `() => import(...)` syntax."
"What types of modules or components are good candidates for lazy loading?", "Modules/components that are large, used less frequently, not essential for the critical path, or located below-the-fold."
"When should you use Factory Providers (`useFactory`)?", "When dependency creation requires complex logic, conditional instantiation, runtime configuration, or asynchronous operations."
"What are Injection Tokens used for?", "To provide interfaces or abstract types as dependencies, promoting decoupling and testability."
"How do you create an Injection Token?", "`new InjectionToken<InterfaceType>('TokenName')`"
"How do you provide a concrete implementation for an Injection Token?", "Use `useClass`, `useFactory`, `useValue`, or `useExisting` in the `providers` array."
"What are the two main provider scopes in Angular?", "`providedIn: 'root'` for application-wide singletons and component-level providers for component-scoped instances."
"When should you use `providedIn: 'root'`?", "For singleton services shared across the entire application."
"When should you use component-level providers?", "For services intended to be scoped to a specific component and its subtree."
"How does Dependency Injection support the Liskov Substitution Principle (LSP)?", "By allowing different concrete implementations of an interface (provided via an Injection Token) to be interchangeable without breaking consuming components."
"What does the Single Responsibility Principle (SRP) mean for Angular Services?", "Services should have a focused, well-defined responsibility and encapsulate a specific set of related functionalities."
"How does interface-based programming with Injection Tokens support the Interface Segregation Principle (ISP)?", "It encourages creating focused interfaces that represent a specific, cohesive set of functionalities, avoiding "fat interfaces"."
"What should you check to ensure type safety with `inject()`?", "Verify that the generic type parameter is consistently used with `inject()` when injecting tokens."
"What should you check regarding dynamic component injection?", "Verify that it's used appropriately for on-demand loading or modularity, and that `createComponent()` and `ViewContainerRef` are used correctly."
"What should you check regarding lazy loading?", "Verify that route-based lazy loading is configured for feature modules or standalone components to optimize initial load time."
"What should you check regarding Factory Providers?", "Verify that they are used when dependency creation requires complex logic."
"What should you check regarding Injection Tokens?", "Verify that they are used to provide interfaces as dependencies, promoting decoupling."
"What should you check regarding provider scope?", "Verify that provider scope (`providedIn: 'root'` or component-level) is appropriately chosen."
"What SOLID principles should the DI design adhere to?", "Liskov Substitution Principle (LSP) and Single Responsibility Principle (SRP)."
"How can you ensure performance-conscious DI?", "Utilize lazy loading, dynamic injection, and efficient provider strategies."
