question,answer
"How do you maintain a logical document outline?", "Maintain a logical and consistent heading level structure (`<h1>` to `<h6>`)."
"Why is consistent HTML indentation important?", "Indent HTML code consistently to reflect nesting structure for readability."
"What should you avoid regarding the depth of the DOM tree?", "Avoid overly deep nesting of HTML elements."
"How should you group related content in HTML?", "Group semantically related HTML elements together using appropriate container elements."
"When should you use HTML comments?", "Use HTML comments to explain complex or non-obvious sections of markup."
"What kind of class names should you use?", "Use descriptive and meaningful CSS class names."
"Why is it important to maintain consistent HTML coding conventions?", "Adopt and maintain consistent HTML coding conventions. Consistency improves readability and maintainability."
"What should you do regularly to ensure HTML quality?", "Regularly validate generated HTML markup using HTML validators."
"How can you minimize the size of the DOM?", "Generate HTML that is as lean and efficient as possible avoiding unnecessary elements and deep nesting."
"How can you improve initial page load time related to images?", "Automatically add `loading=\"lazy\"` attribute to `<img>` elements that are below-the-fold."
"How can you optimize the loading of JavaScript in your HTML?", "Place `<script>` tags strategically. Use `defer` or `async` attributes. Place non-blocking scripts at the end of `<body>`."
"List the Document Structure Elements.", "`<!DOCTYPE html>` `<html>` `<head>` `<title>` `<meta>` `<link>` `<style>` `<base>` `<noscript>` `<script>` `<body>`"
"List the Sectioning Content Elements.", "`<header>` `<nav>` `<main>` `<article>` `<section>` `<aside>` `<footer>`"
"List the Text Content Elements.", "`<h1>`-`<h6>` `<p>` `<br>` `<hr>` `<pre>` `<blockquote>` `<q>`"
"List the Inline Text Semantics Elements.", "`<a>` `<em>` `<strong>` `<small>` `<mark>` `<del>` `<ins>` `<u>` `<s>` `<code>` `<kbd>` `<samp>` `<var>` `<cite>` `<sup>` `<sub>` `<span>`"
"List the Image and Multimedia Elements.", "`<img>` `<picture>` `<audio>` `<video>` `<source>` `<track>` `<svg>` `<canvas>`"
"List the Embedded Content Elements.", "`<iframe>` `<embed>` `<object>` `<param>`"
"List the Scripting Elements.", "`<script>` `<noscript>` `<template>`"
"List the Form Elements.", "`<form>` `<input>` `<textarea>` `<button>` `<select>` `<option>` `<optgroup>` `<datalist>` `<fieldset>` `<legend>` `<label>` `<output>` `<meter>` `<progress>`"
"List the Interactive Elements.", "`<details>` `<summary>` `<dialog>` `<menu>` `<menuitem>`"
"List the Table Data Elements.", "`<table>` `<caption>` `<thead>` `<tbody>` `<tfoot>` `<tr>` `<th>` `<td>` `<col>` `<colgroup>`"
"List the Metadata Elements.", "`<head>` `<title>` `<meta>` `<style>` `<link>` `<base>` `<script>` `<noscript>` `<data>` `<time>`"
